Progeny,Sire,Dam
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,1,9
16,1,9
17,1,14
18,1,14
19,1,12
20,1,12
21,3,10
22,3,10
23,3,13
24,3,13
25,3,7
26,3,7
27,4,11
28,4,11
29,4,5
30,4,5
31,2,6
32,2,6
33,2,8
34,2,8
35,17,22
36,17,22
37,17,16
38,17,16
39,17,29
40,17,29
41,19,30
42,19,30
43,19,20
44,19,20
45,19,24
46,19,24
47,28,23
48,28,23
49,28,25
50,28,25
51,26,18
52,26,18
53,26,32
54,26,32
55,38,53
56,38,53
57,38,44
58,38,44
59,38,36
60,38,36
61,52,47
62,52,47
63,52,37
64,52,37
65,52,40
66,52,40
67,42,39
68,42,39
69,42,48
70,42,48
71,46,45
72,46,45
73,46,41
74,46,41
75,67,70
76,67,70
77,67,58
78,67,58
79,67,72
80,67,72
81,55,61
82,55,61
83,55,59
84,55,59
85,55,73
86,55,73
87,68,65
88,68,65
89,68,74
90,68,74
91,66,56
92,66,56
93,66,63
94,66,63
95,90,87
96,90,87
97,90,83
98,90,83
99,90,92
100,90,92
101,89,94
102,89,94
103,89,86
104,89,86
105,89,75
106,89,75
107,82,85
108,82,85
109,82,79
110,82,79
111,80,78
112,80,78
113,80,84
114,80,84
