--------------- LD decay ---------------

No. marker pairs
--------------------
Bin\Gen.              0              1              2              3              4              5 
[0,.05)               8              8              8              7              4              4 
[.05,.1)              5              5              5              5              5              5 
[.1,.2)              16             16             16             14             14             14 
[.2,.3)               9              8              8              8              7              7 
[.3,.4)              11             11             10             10             10             10 
[.4,.5)               4              4              4              4              4              3 
[.5,.6)               9              9              9              9              9              8 
[.6,.7)              13             11             10              9              9              9 
[.7,.8)               8              8              6              4              4              4 
[.8,.9)              13             12             12             10              8              7 
[.9,1)               13             14             13             13             12             11 
[1,2)                70             70             61             58             57             56 
[2,3)               117            111            111            104            106             96 
[3,4)                92             90             85             77             79             73 
[4,5)               110            109            102             97             90             84 

Mean D'(SD)
--------------------
Bin\Gen.              0              1              2              3              4              5 
[0,.05)  0.9125(0.2475) 0.9359(0.1813) 0.9524(0.1347) 0.9235(0.2025) 0.8157(0.3687) 0.9078(0.1843) 
[.05,.1) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 
[.1,.2)  0.9018(0.2078) 0.9041(0.2633) 0.9369(0.1915) 0.9286(0.1930) 0.9138(0.2283) 0.8767(0.3154) 
[.2,.3)  0.8078(0.2895) 0.8929(0.2020) 0.8143(0.3617) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 
[.3,.4)  0.9646(0.1173) 0.9481(0.1723) 0.9429(0.1807) 0.9216(0.2480) 0.9606(0.1246) 0.9798(0.0639) 
[.4,.5)  0.8667(0.2667) 0.8750(0.2500) 0.7619(0.4762) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 
[.5,.6)  0.7741(0.2991) 0.8314(0.2025) 0.7906(0.3039) 0.9556(0.1333) 0.9861(0.0417) 1.0000(0.0000) 
[.6,.7)  0.9761(0.0863) 0.9757(0.0807) 0.9818(0.0575) 0.9788(0.0635) 0.9829(0.0513) 1.0000(0.0000) 
[.7,.8)  0.8838(0.2151) 0.8673(0.2462) 0.9430(0.1396) 0.9342(0.1316) 0.9112(0.1775) 0.9630(0.0741) 
[.8,.9)  0.8752(0.2136) 0.9167(0.2887) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 1.0000(0.0000) 
[.9,1)   0.7235(0.3905) 0.7301(0.3867) 0.7594(0.3331) 0.8065(0.3326) 0.8425(0.3104) 0.8337(0.3310) 
[1,2)    0.7405(0.3455) 0.7529(0.3494) 0.7748(0.3503) 0.7928(0.3299) 0.8164(0.3176) 0.8459(0.2833) 
[2,3)    0.7237(0.3412) 0.7825(0.3021) 0.8110(0.2921) 0.8921(0.2272) 0.8721(0.2693) 0.8825(0.2422) 
[3,4)    0.6932(0.3428) 0.7857(0.3046) 0.8161(0.2830) 0.8342(0.3076) 0.8546(0.2952) 0.8707(0.2629) 
[4,5)    0.6441(0.3522) 0.7112(0.3420) 0.7436(0.3465) 0.8291(0.2870) 0.8396(0.2747) 0.8012(0.3025) 

Mean R2(SD)
--------------------
Bin\Gen.              0              1              2              3              4              5 
[0,.05)  0.5104(0.3740) 0.5574(0.3909) 0.6060(0.4215) 0.4969(0.4706) 0.5563(0.5149) 0.5933(0.4773) 
[.05,.1) 0.4537(0.4991) 0.4907(0.4719) 0.4795(0.4797) 0.4753(0.4817) 0.4552(0.4975) 0.4582(0.4957) 
[.1,.2)  0.5298(0.3868) 0.5718(0.3919) 0.5649(0.3805) 0.6290(0.3848) 0.6051(0.3893) 0.5927(0.4152) 
[.2,.3)  0.2792(0.4112) 0.2868(0.4412) 0.4048(0.4947) 0.4287(0.4774) 0.5439(0.4568) 0.5379(0.4743) 
[.3,.4)  0.5112(0.3677) 0.4835(0.3801) 0.4921(0.3527) 0.5430(0.3901) 0.5867(0.3880) 0.5939(0.3853) 
[.4,.5)  0.5156(0.4199) 0.5770(0.4992) 0.5413(0.4648) 0.6243(0.4507) 0.6485(0.4250) 0.5730(0.4759) 
[.5,.6)  0.3335(0.2786) 0.3540(0.2665) 0.3097(0.2811) 0.3213(0.2683) 0.3273(0.2125) 0.3519(0.2038) 
[.6,.7)  0.4750(0.3915) 0.5512(0.3972) 0.5902(0.3609) 0.7002(0.3751) 0.7224(0.4010) 0.7310(0.3976) 
[.7,.8)  0.1895(0.1505) 0.2018(0.2424) 0.2465(0.2444) 0.4594(0.2555) 0.5094(0.3042) 0.5787(0.3210) 
[.8,.9)  0.2082(0.2068) 0.2299(0.2254) 0.1889(0.1905) 0.1492(0.1790) 0.1975(0.2394) 0.1786(0.2269) 
[.9,1)   0.3654(0.3659) 0.3181(0.3464) 0.3296(0.3660) 0.3719(0.3729) 0.4201(0.4047) 0.4822(0.4033) 
[1,2)    0.2181(0.2564) 0.2138(0.2812) 0.2336(0.2799) 0.2555(0.3046) 0.2661(0.3288) 0.2790(0.3241) 
[2,3)    0.2281(0.2611) 0.2589(0.2718) 0.2981(0.2901) 0.3699(0.3197) 0.3675(0.3293) 0.3737(0.3217) 
[3,4)    0.1622(0.1829) 0.1851(0.1978) 0.1864(0.1935) 0.2195(0.2275) 0.2255(0.2566) 0.2545(0.2799) 
[4,5)    0.1332(0.1649) 0.1421(0.1699) 0.1606(0.1732) 0.2028(0.2249) 0.2274(0.2436) 0.2222(0.2360) 

Mean X2'(SD)
--------------------
Bin\Gen.              0              1              2              3              4              5 
[0,.05)  0.5104(0.3740) 0.5574(0.3909) 0.6060(0.4215) 0.4969(0.4706) 0.5563(0.5149) 0.5933(0.4773) 
[.05,.1) 0.4537(0.4991) 0.4907(0.4719) 0.4795(0.4797) 0.4753(0.4817) 0.4552(0.4975) 0.4582(0.4957) 
[.1,.2)  0.5298(0.3868) 0.5718(0.3919) 0.5649(0.3805) 0.6290(0.3848) 0.6051(0.3893) 0.5927(0.4152) 
[.2,.3)  0.2792(0.4112) 0.2868(0.4412) 0.4048(0.4947) 0.4287(0.4774) 0.5439(0.4568) 0.5379(0.4743) 
[.3,.4)  0.5112(0.3677) 0.4835(0.3801) 0.4921(0.3527) 0.5430(0.3901) 0.5867(0.3880) 0.5939(0.3853) 
[.4,.5)  0.5156(0.4199) 0.5770(0.4992) 0.5413(0.4648) 0.6243(0.4507) 0.6485(0.4250) 0.5730(0.4759) 
[.5,.6)  0.3335(0.2786) 0.3540(0.2665) 0.3097(0.2811) 0.3213(0.2683) 0.3273(0.2125) 0.3519(0.2038) 
[.6,.7)  0.4750(0.3915) 0.5512(0.3972) 0.5902(0.3609) 0.7002(0.3751) 0.7224(0.4010) 0.7310(0.3976) 
[.7,.8)  0.1895(0.1505) 0.2018(0.2424) 0.2465(0.2444) 0.4594(0.2555) 0.5094(0.3042) 0.5787(0.3210) 
[.8,.9)  0.2082(0.2068) 0.2299(0.2254) 0.1889(0.1905) 0.1492(0.1790) 0.1975(0.2394) 0.1786(0.2269) 
[.9,1)   0.3654(0.3659) 0.3181(0.3464) 0.3296(0.3660) 0.3719(0.3729) 0.4201(0.4047) 0.4822(0.4033) 
[1,2)    0.2181(0.2564) 0.2138(0.2812) 0.2336(0.2799) 0.2555(0.3046) 0.2661(0.3288) 0.2790(0.3241) 
[2,3)    0.2281(0.2611) 0.2589(0.2718) 0.2981(0.2901) 0.3699(0.3197) 0.3675(0.3293) 0.3737(0.3217) 
[3,4)    0.1622(0.1829) 0.1851(0.1978) 0.1864(0.1935) 0.2195(0.2275) 0.2255(0.2566) 0.2545(0.2799) 
[4,5)    0.1332(0.1649) 0.1421(0.1699) 0.1606(0.1732) 0.2028(0.2249) 0.2274(0.2436) 0.2222(0.2360) 
