Progeny	Sire	Dam	Sex
1	0	0	M
2	0	0	M
3	0	0	M
4	0	0	M
5	0	0	F
6	0	0	F
7	0	0	F
8	0	0	F
9	0	0	F
10	0	0	F
11	0	0	F
12	0	0	F
13	0	0	F
14	0	0	F
15	1	9	M
16	1	9	F
17	1	14	M
18	1	14	F
19	1	12	M
20	1	12	F
21	3	10	M
22	3	10	F
23	3	13	F
24	3	13	F
25	3	7	F
26	3	7	M
27	4	11	M
28	4	11	M
29	4	5	F
30	4	5	F
31	2	6	M
32	2	6	F
33	2	8	M
34	2	8	M
35	17	22	M
36	17	22	F
37	17	16	F
38	17	16	M
39	17	29	F
40	17	29	F
41	19	30	F
42	19	30	M
43	19	20	M
44	19	20	F
45	19	24	F
46	19	24	M
47	28	23	F
48	28	23	F
49	28	25	M
50	28	25	M
51	26	18	M
52	26	18	M
53	26	32	F
54	26	32	M
55	38	53	M
56	38	53	F
57	38	44	M
58	38	44	F
59	38	36	F
60	38	36	M
61	52	47	F
62	52	47	M
63	52	37	F
64	52	37	M
65	52	40	F
66	52	40	M
67	42	39	M
68	42	39	M
69	42	48	M
70	42	48	F
71	46	45	M
72	46	45	F
73	46	41	F
74	46	41	F
75	67	70	F
76	67	70	M
77	67	58	M
78	67	58	F
79	67	72	F
80	67	72	M
81	55	61	M
82	55	61	M
83	55	59	F
84	55	59	F
85	55	73	F
86	55	73	F
87	68	65	F
88	68	65	M
89	68	74	M
90	68	74	M
91	66	56	M
92	66	56	F
93	66	63	M
94	66	63	F
95	90	87	F
96	90	87	F
97	90	83	M
98	90	83	F
99	90	92	F
100	90	92	F
101	89	94	F
102	89	94	M
103	89	86	M
104	89	86	F
105	89	75	F
106	89	75	F
107	82	85	M
108	82	85	M
109	82	79	F
110	82	79	M
111	80	78	M
112	80	78	M
113	80	84	M
114	80	84	M
