ID          Chr    Position
M1           1     0.16785
M2           1     7.27855
M3           1     8.17061
M4           1     8.22897
M5           1     9.39896
M6           1     9.62029
M7           1    13.11268
M8           1    13.99667
M9           1    13.99954
M10          1    14.02243
M11          1    19.80541
M12          1    23.19662
M13          1    23.57833
M14          1    23.69724
M15          1    25.73049
M16          1    26.44750
M17          1    27.10210
M18          1    27.28411
M19          1    27.44645
M20          1    29.72784
M21          1    29.86116
M22          1    31.95473
M23          1    32.48338
M24          1    32.59062
M25          1    32.79828
M26          1    33.05762
M27          1    38.43915
M28          1    40.40408
M29          1    40.60781
M30          1    40.72319
M31          1    41.05296
M32          1    41.15501
M33          1    41.36895
M34          1    41.86348
M35          1    44.99777
M36          1    46.93953
M37          1    46.96117
M38          1    47.13929
M39          1    47.69805
M40          1    49.43805
M41          2     1.15828
M42          2     3.07240
M43          2     3.83550
M44          2     4.49481
M45          2     5.44626
M46          2     7.23749
M47          2     9.00852
M48          2     9.24526
M49          2    11.95657
M50          2    12.54992
M51          2    13.31864
M52          2    15.99705
M53          2    17.04901
M54          2    18.25289
M55          2    19.99729
M56          2    20.43397
M57          2    21.30382
M58          2    21.85908
M59          2    22.82779
M60          2    23.00210
M61          2    26.26089
M62          2    26.36140
M63          2    28.47138
M64          2    31.68225
M65          2    32.08464
M66          2    32.10997
M67          2    32.23152
M68          2    33.13071
M69          2    33.85263
M70          2    36.29113
M71          2    37.42959
M72          2    38.47096
M73          2    39.12903
M74          2    40.76221
M75          2    41.09515
M76          2    41.38656
M77          2    42.34045
M78          2    43.72957
M79          2    45.90519
M80          2    47.48799
M81          3     0.67386
M82          3     2.09329
M83          3     2.38021
M84          3     4.59571
M85          3     4.98573
M86          3     5.30845
M87          3     7.42590
M88          3     7.59578
M89          3     8.11900
M90          3    10.03846
M91          3    11.33706
M92          3    12.65268
M93          3    12.65581
M94          3    12.76507
M95          3    16.77700
M96          3    16.93308
M97          3    17.85137
M98          3    21.70860
M99          3    23.49600
M100         3    24.06694
M101         3    26.17838
M102         3    27.68966
M103         3    28.31657
M104         3    30.70598
M105         3    31.58942
M106         3    34.49077
M107         3    36.24910
M108         3    37.21935
M109         3    37.49645
M110         3    38.61090
M111         3    39.51903
M112         3    41.27416
M113         3    41.64211
M114         3    42.53686
M115         3    43.87466
M116         3    44.92037
M117         3    46.74271
M118         3    46.97703
M119         3    47.28604
M120         3    48.53241
M121         4     0.21203
M122         4     4.37199
M123         4     4.58614
M124         4     4.85082
M125         4     6.61071
M126         4     7.13168
M127         4     7.21495
M128         4     9.79982
M129         4     9.83276
M130         4    13.96632
M131         4    14.46383
M132         4    16.29084
M133         4    19.49575
M134         4    19.51638
M135         4    20.66909
M136         4    21.45372
M137         4    22.80100
M138         4    23.80809
M139         4    23.92132
M140         4    25.15892
M141         4    25.93240
M142         4    26.00790
M143         4    26.69539
M144         4    28.28981
M145         4    28.80989
M146         4    30.88002
M147         4    31.28188
M148         4    33.44228
M149         4    34.02308
M150         4    34.29110
M151         4    35.16218
M152         4    37.40686
M153         4    38.62524
M154         4    40.88773
M155         4    41.46465
M156         4    43.58271
M157         4    44.48278
M158         4    44.55430
M159         4    46.71440
M160         4    48.49603
M161         5     0.33219
M162         5     0.91692
M163         5     2.94162
M164         5     7.26778
M165         5    11.38651
M166         5    12.10521
M167         5    15.04764
M168         5    15.12595
M169         5    15.45349
M170         5    16.80375
M171         5    16.80724
M172         5    16.97193
M173         5    18.44920
M174         5    21.11729
M175         5    21.24961
M176         5    21.38018
M177         5    22.21783
M178         5    22.32599
M179         5    23.95992
M180         5    24.53588
M181         5    24.85759
M182         5    25.73715
M183         5    26.66822
M184         5    26.71907
M185         5    29.12009
M186         5    29.79261
M187         5    33.55775
M188         5    36.46959
M189         5    37.13210
M190         5    37.31197
M191         5    38.57775
M192         5    39.80514
M193         5    40.25500
M194         5    41.10861
M195         5    44.89290
M196         5    44.93655
M197         5    45.07076
M198         5    48.24475
M199         5    48.90406
M200         5    49.15410
